【汉字篇】
夢|ゆめ|梦想、梦境|夢はとても大切です。|使用「夢」的例句：梦想、梦境很重要
保護|ほご|保护、防护|新しい保護です。|使用「保護」的例句：新的保护、防护
看護|かんご|看护、护理|よく看護ます。|使用「看護」的例句：经常看护、护理
介護|かいご|介护、照顾|新しい介護です。|使用「介護」的例句：新的介护、照顾
紹介|しょうかい|介绍、推荐|紹介を持っています。|使用「紹介」的例句：有介绍、推荐
招待|しょうたい|招待|招待はとても大切です。|使用「招待」的例句：招待很重要
期待|きたい|期待、盼望|期待を買いました。|使用「期待」的例句：买了期待、盼望
延期|えんき|延期、推迟|延期を買いました。|使用「延期」的例句：买了延期、推迟
待遇|たいぐう|等候的人|待遇天気ですね。|使用「待遇」的例句：等候的人的天气呢
人格|じんかく|人品、性格|新しい人格です。|使用「人格」的例句：新的人品、性格
求人|きゅうじん|招聘|求人が好きです。|使用「求人」的例句：喜欢招聘
追求|ついきゅう|追求，追寻|追求を買いました。|使用「追求」的例句：买了追求，追寻
追加|ついか|追加、补充|追加はとても大切です。|使用「追加」的例句：追加、补充很重要
増加|ぞうか|增加，增长|増加天気ですね。|使用「増加」的例句：增加，增长的天气呢
増大|ぞうだい|增大、扩展|増大天気ですね。|使用「増大」的例句：增大、扩展的天气呢
大幅|おおはば|大幅、大量|とても大幅です。|使用「大幅」的例句：非常大幅、大量
大声|おおごえ|大声、喊声|大声気持ちです。|使用「大声」的例句：大声、喊声的心情
大変|たいへん|严重、非常|大変を買いました。|使用「大変」的例句：买了严重、非常
変更|へんこう|变更、修改|変更を買いました。|使用「変更」的例句：买了变更、修改
変換|へんかん|转换、变换|変換はとても大切です。|使用「変換」的例句：转换、变换很重要
改造|かいぞう|改造、重建|改造について話します。|使用「改造」的例句：谈论改造、重建
改善|かいぜん|改善、改进|改善はとても大切です。|使用「改善」的例句：改善、改进很重要
改革|かいかく|改革|改革について話します。|使用「改革」的例句：谈论改革
改訂|かいてい|修订、改订|これは改訂です。|使用「改訂」的例句：这是修订、改订
訂正|ていせい|更正、订正|新しい訂正です。|使用「訂正」的例句：新的更正、订正
正式|せいしき|正式、正式的|正式気持ちです。|使用「正式」的例句：正式、正式的的心情
補正|ほせい|补正、修正|これは補正です。|使用「補正」的例句：这是补正、修正
補足|ほそく|补充、补足|これは補足です。|使用「補足」的例句：这是补充、补足
候補|こうほ|候选、候补|候補はとても大切です。|使用「候補」的例句：候选、候补很重要
補助|ほじょ|补助、援助|補助を持っています。|使用「補助」的例句：有补助、援助
補充|ほじゅう|补充、填补|補充について話します。|使用「補充」的例句：谈论补充、填补
拡充|かくじゅう|扩充、扩大|拡充ところです。|使用「拡充」的例句：扩充、扩大的地方
充実|じゅうじつ|充实、完善|充実を持っています。|使用「充実」的例句：有充实、完善
実現|じつげん|实现、真真|実現について話します。|使用「実現」的例句：谈论实现、真真
実施|じっし|实施、执行|実施について話します。|使用「実施」的例句：谈论实施、执行
実践|じっせん|实践|実践はとても大切です。|使用「実践」的例句：实践很重要
実感|じっかん|实感、真实感|実感を買いました。|使用「実感」的例句：买了实感、真实感
事実|じじつ|事实、实际|これは事実です。|使用「事実」的例句：这是事实、实际
実際|じっさい|实际、实际上|実際を買いました。|使用「実際」的例句：买了实际、实际上
間際|まぎわ|临近、快要|間際気持ちです。|使用「間際」的例句：临近、快要的心情
仲間|なかま|伙伴、同伴|これは仲間です。|使用「仲間」的例句：这是伙伴、同伴
昼間|ひるま|白天、日间|昼間が好きです。|使用「昼間」的例句：喜欢白天、日间
夜間|やかん|夜间、夜晚|夜間について話します。|使用「夜間」的例句：谈论夜间、夜晚
間隔|かんかく|间隔、距离|間隔が好きです。|使用「間隔」的例句：喜欢间隔、距离
世間|せけん|社会、世间|世間が好きです。|使用「世間」的例句：喜欢社会、世间
出世|しゅっせ|出人头地|出世が好きです。|使用「出世」的例句：喜欢出人头地
輩出|はいしゅつ|输出、培养|輩出はとても大切です。|使用「輩出」的例句：输出、培养很重要
進出|しんしゅつ|进军、扩展|進出はとても大切です。|使用「進出」的例句：进军、扩展很重要
続出|ぞくしゅつ|接连发生或出现|続出はとても大切です。|使用「続出」的例句：接连发生或出现很重要
持続|じぞく|持续、维持|これは持続です。|使用「持続」的例句：这是持续、维持
継続|けいぞく|继续、持续|継続を持っています。|使用「継続」的例句：有继续、持续
接続|せつぞく|连接、接合|接続を持っています。|使用「接続」的例句：有连接、接合
直接|ちょくせつ|直接、亲自|直接が好きです。|使用「直接」的例句：喜欢直接、亲自
直接|ちょくせつ|紧接着、立即|新しい直接です。|使用「直接」的例句：新的紧接着、立即
後日|ごじつ|后来、日后|毎日後日ます。|使用「後日」的例句：每天后来、日后
終日|しゅうじつ|一整天|終日を買いました。|使用「終日」的例句：买了一整天
平日|へいじつ|工作日、平日|今日は平日ました。|使用「平日」的例句：今天工作日、平日了
休日|きゅうじつ|休息日|休日が好きです。|使用「休日」的例句：喜欢休息日
日課|にっか|每日的任务|日課気持ちです。|使用「日課」的例句：每日的任务的心情
当日|とうじつ|当天,那天|当日が好きです。|使用「当日」的例句：喜欢当天,那天
当然|とうぜん|理所当然|新しい当然です。|使用「当然」的例句：新的理所当然
相当|そうとう|相当、相匹配|相当はとても大切です。|使用「相当」的例句：相当、相匹配很重要
相互|そうご|互相、相互|相互について話します。|使用「相互」的例句：谈论互相、相互
相談|そうだん|商量、咨询|相談を買いました。|使用「相談」的例句：买了商量、咨询
相違|そうい|差异、不同|相違を持っています。|使用「相違」的例句：有差异、不同
違反|いはん|违反、违背|違反を買いました。|使用「違反」的例句：买了违反、违背
反抗|はんこう|反抗、抵抗|反抗について話します。|使用「反抗」的例句：谈论反抗、抵抗
反映|はんえい|反映、映射|新しい反映です。|使用「反映」的例句：新的反映、映射
反省|はんせい|反省、反思|反省を持っています。|使用「反省」的例句：有反省、反思
省略|しょうりゃく|省略|省略を持っています。|使用「省略」的例句：有省略
簡略|かんりゃく|简略、简化|簡略が好きです。|使用「簡略」的例句：喜欢简略、简化
簡潔|かんけつ|简洁、简明|簡潔について話します。|使用「簡潔」的例句：谈论简洁、简明
簡単|かんたん|简单、容易|簡単について話します。|使用「簡単」的例句：谈论简单、容易
単純|たんじゅん|单纯、简单|単純が好きです。|使用「単純」的例句：喜欢单纯、简单
一番|いちばん|最、第一|一番を買いました。|使用「一番」的例句：买了最、第一
一斉|いっせい|一齐、同时|一斉が好きです。|使用「一斉」的例句：喜欢一齐、同时
一緒|いっしょ|一起、共同|これは一緒です。|使用「一緒」的例句：这是一起、共同
精一杯|せいいっぱい|尽全力|精一杯が好きです。|使用「精一杯」的例句：喜欢尽全力
一生懸命|いっしょうけんめい|拼命、尽全力|これは一生懸命です。|使用「一生懸命」的例句：这是拼命、尽全力
唯一|ゆいいつ|唯一|唯一が好きです。|使用「唯一」的例句：喜欢唯一
統一|とういつ|统一、一致|新しい統一です。|使用「統一」的例句：新的统一、一致
伝統|でんとう|传统、惯例|伝統を持っています。|使用「伝統」的例句：有传统、惯例
宣伝|せんでん|宣传、广告|これは宣伝です。|使用「宣伝」的例句：这是宣传、广告
伝達|でんたつ|传达、传播|これは伝達です。|使用「伝達」的例句：这是传达、传播
達成|たっせい|达成、完成|達成が好きです。|使用「達成」的例句：喜欢达成、完成
上達|じょうたつ|进步、提高|上達気持ちです。|使用「上達」的例句：进步、提高的心情
上位|じょうい|上位、地位等极高|上位ところです。|使用「上位」的例句：上位、地位等极高的地方
上昇|じょうしょう|上升|上昇が好きです。|使用「上昇」的例句：喜欢上升
屋上|おくじょう|屋顶、楼顶|屋上を買いました。|使用「屋上」的例句：买了屋顶、楼顶
向上|こうじょう|向上、提高|とても向上です。|使用「向上」的例句：非常向上、提高
上旬|じょうじゅん|上旬|上旬を持っています。|使用「上旬」的例句：有上旬
下旬|げじゅん|下旬、月末|新しい下旬です。|使用「下旬」的例句：新的下旬、月末
下手|じょうず|擅长、熟练|下手天気ですね。|使用「下手」的例句：擅长、熟练的天气呢
下手|へた|不擅长、不熟练|下手天気ですね。|使用「下手」的例句：不擅长、不熟练的天气呢
下痢|げり|腹泻|新しい下痢です。|使用「下痢」的例句：新的腹泻
手入れ|ていれ|修理、保养|手入れはとても大切です。|使用「手入れ」的例句：修理、保养很重要
手当て|てあて|津贴、治疗|新しい手当てです。|使用「手当て」的例句：新的津贴、治疗
手間|てま|工夫（时间、精力等）|新しい手間です。|使用「手間」的例句：新的工夫（时间、精力等）
適度|てきど|适度、适中|適度を持っています。|使用「適度」的例句：有适度、适中
適切|てきせつ|适当、恰当|適切が好きです。|使用「適切」的例句：喜欢适当、恰当
適応|てきおう|适应、顺应|適応を持っています。|使用「適応」的例句：有适应、顺应
応援|おうえん|支援、鼓励|これは応援です。|使用「応援」的例句：这是支援、鼓励
援助|えんじょ|援助、帮助|これは援助です。|使用「援助」的例句：这是援助、帮助
助言|じょげん|劝告、建议|助言を買いました。|使用「助言」的例句：买了劝告、建议
言語|げんご|语言、语种|言語について話します。|使用「言語」的例句：谈论语言、语种
語彙|ごい|词汇|新しい語彙です。|使用「語彙」的例句：新的词汇
語源|ごげん|词源、词根|語源が好きです。|使用「語源」的例句：喜欢词源、词根
原爆|げんばく|核爆|原爆を買いました。|使用「原爆」的例句：买了核爆
原材料|げんざいりょう|原料|原材料を持っています。|使用「原材料」的例句：有原料
取材|しゅざい|采访、取材|取材を持っています。|使用「取材」的例句：有采访、取材
素材|そざい|材料、原料|素材が好きです。|使用「素材」的例句：喜欢材料、原料
素人|しろうと|外行|素人が好きです。|使用「素人」的例句：喜欢外行
素顔|すがお|本来面貌、素颜|時々素顔ます。|使用「素顔」的例句：有时本来面貌、素颜
素足|すあし|赤脚、光脚|これは素足です。|使用「素足」的例句：这是赤脚、光脚
充足|あしもと|脚下、步伐|充足を買いました。|使用「充足」的例句：买了脚下、步伐
不足|ふそく|不足、不够|不足について話します。|使用「不足」的例句：谈论不足、不够
積極|せっきょく|积极、主动|一緒に積極ましょう。|使用「積極」的例句：一起积极、主动吧
消極|しょうきょく|消极、被动|時々消極ます。|使用「消極」的例句：有时消极、被动
意図|いと|意图，打算|これは意図です。|使用「意図」的例句：这是意图，打算
得意|とくい|擅长、得意|得意人です。|使用「得意」的例句：擅长、得意的人
悪意|あくい|恶意、敌意|悪意が好きです。|使用「悪意」的例句：喜欢恶意、敌意
意外|いがい|意外、出乎意料|意外を買いました。|使用「意外」的例句：买了意外、出乎意料
意欲|いよく|意欲、动机|意欲ことができます。|使用「意欲」的例句：能够意欲、动机
合意|ごうい|合意、同意|合意が好きです。|使用「合意」的例句：喜欢合意、同意
合併|がっぺい|合并、兼并|合併を持っています。|使用「合併」的例句：有合并、兼并
合図|あいず|信号、暗号|合図を持っています。|使用「合図」的例句：有信号、暗号
具合|ぐあい|状况、情况|具合を持っています。|使用「具合」的例句：有状况、情况
都合|つごう|方便、情况|新しい都合です。|使用「都合」的例句：新的方便、情况
都会|とかい|都市、都会|都会はとても大切です。|使用「都会」的例句：都市、都会很重要
機会|きかい|机会、时机|機会を持っています。|使用「機会」的例句：有机会、时机
機嫌|きげん|心情、情绪|機嫌が好きです。|使用「機嫌」的例句：喜欢心情、情绪
会見|かいけん|会见、采访|これは会見です。|使用「会見」的例句：这是会见、采访
雑談|ざつだん|闲聊、杂谈|新しい雑談です。|使用「雑談」的例句：新的闲聊、杂谈
混雑|こんざつ|拥挤、混乱|混雑はとても大切です。|使用「混雑」的例句：拥挤、混乱很重要
混乱|こんらん|混乱、紊乱|混乱が好きです。|使用「混乱」的例句：喜欢混乱、紊乱
乱暴|らんぼう|粗暴、野蛮|乱暴な言葉遣い|粗鲁的言语
防災|ぼうさい|防灾|防災について話します。|使用「防災」的例句：谈论防灾
災害|さいがい|灾害、灾难|災害について話します。|使用「災害」的例句：谈论灾害、灾难
被害|ひがい|受害、损失|今回の台風上陸の被害は全国各地に及んだ。|这次台风登陆的灾害波及全国各地。
損害|そんがい|損害、损失|損害はとても大切です。|使用「損害」的例句：損害、损失很重要
障害|しょうがい|障碍|障害について話します。|使用「障害」的例句：谈论障碍
現象|げんしょう|現象、情況|現象はとても大切です。|使用「現象」的例句：現象、情況很重要
現状|げんじょう|当前状况|現状を持っています。|使用「現状」的例句：有当前状况
状態|じょうたい|状态、情况|これは状態です。|使用「状態」的例句：这是状态、情况
表現|ひょうげん|表现、表达|これは表現です。|使用「表現」的例句：这是表现、表达
表面|ひょうめん|表面、外表|新しい表面です。|使用「表面」的例句：新的表面、外表
画面|がめん|屏幕、画面|画面について話します。|使用「画面」的例句：谈论屏幕、画面
企画|きかく|企划、计划|企画について話します。|使用「企画」的例句：谈论企划、计划
計画|けいかく|计划、规划|計画について話します。|使用「計画」的例句：谈论计划、规划
面倒|めんどう|麻烦、繁琐|面倒について話します。|使用「面倒」的例句：谈论麻烦、繁琐
面接|めんせつ|面试、会面|これは面接です。|使用「面接」的例句：这是面试、会面
密接|みっせつ|密切、紧密|これは密接です。|使用「密接」的例句：这是密切、紧密
秘密|ひみつ|秘密、机密|これは秘密です。|使用「秘密」的例句：这是秘密、机密
必死|ひっし|拼命、死命|必死を持っています。|使用「必死」的例句：有拼命、死命
必要|ひつよう|必要、必需|新しい必要です。|使用「必要」的例句：新的必要、必需
要求|ようきゅう|要求、需求|要求を持っています。|使用「要求」的例句：有要求、需求
欲求|よっきゅう|欲望、需求|これは欲求です。|使用「欲求」的例句：这是欲望、需求
拡張|かくちょう|扩展、扩张|拡張について話します。|使用「拡張」的例句：谈论扩展、扩张
緊張|きんちょう|紧张、焦虑|緊張を買いました。|使用「緊張」的例句：买了紧张、焦虑
緊迫|きんぱく|紧迫、迫切|緊迫はとても大切です。|使用「緊迫」的例句：紧迫、迫切很重要

【动词篇】
競う|きそう|竞争、比赛|競うが好きです。|使用「競う」的例句：喜欢竞争、比赛
狙う|ねらう|瞄准、伺机|優勝を狙う|以夺取冠军为目标
従う|したがう|遵从、跟随|命令に従う|服从命令
伺う|うかがう|拜访、请教|先生のご意見を伺う|请教老师的意见
構う|かまう|在意、照顾|時間に構わず電話する|不顧时间打电话
報う|むくう|回报、报答|苦労が報われる|辛苦有了回报
敵う|かなう|敌得过、与…匹敌|君には敵わないよ|比不过你
扱う|あつかう|操作、使用；处置、处理；对待，对付；经营|扱うが好きです。|使用「扱う」的例句：喜欢操作、使用；处置、处理；对待，对付；经营
狂う|くるう|失常；打乱；发疯、疯狂|彼は嫉妬で狂いそうだった|他快被嫉妬逼疯了
揃う|そろう|齐全|全員が揃ったら出発しよう|所有人到齐后再出发
からかう|からかう|逗弄、开玩笑|人をからかわないで|不要戏弄人
背負う|せおう|背；担负|彼は多くの責任を背負っている|他肩负着很多责任
擦れ違う|すれちがう|交错、擦肩而过；不一致，有分歧|彼と駅ですれ違った|和他在车站擦肩而过
仕舞う|しまう|收拾、结束|おもちゃをしまう|把玩具收拾起来
招く|まねく|邀请、招致|文化祭に歌手を招くのが恒例になっている。|邀请歌手演出是文化节的惯例。
響く|ひびく|回想；影响|トンネルの中は声がよく響く|隧道中回声很响
躓く|つまずく|跌跤、挫折|石につまずいて転んだ|被石头绊倒了
崩す|くずす|拆卸；弄乱|山を崩して道路を作る|拆山修路
刻む|きざむ|切；雕刻|ネギを細かく刻む|把葱切碎
萎む|しぼむ|凋萎|風船が萎んでしまった|气球瘪了
縮む|ちぢむ|缩小、缩短|服が縮んだ|衣服缩水了
睨む|にらむ|瞪眼|彼は怒って私を睨んだ|他生气地瞪着我
悔やむ|くやむ|懊悔、后悔|もっと勉強しなかったことを悔やんでいる|后悔没有多学习一点
迫る|せまる|迫近、接近|試験に迫る|考试临近
弄る|いじる|摆弄、鼓捣|髪の毛を弄っている|正在摆弄头发
偏る|かたよる|偏颇、偏向|彼の意見は偏っている|他的意見有失偏颇
潜る|もぐる|潜水；躲入|海に潜る|潜海
怠る|おこたる|懈怠、疏忽|仕事を怠って上司に叱られた|因怠慢工作被上司训斥
荒れる|あれる|荒芜；狂暴、天气恶劣；干燥、粗糙|海が荒れる|海上波涛汹涌
溢れる|あふれる|溢出、充满|元気溢れる|生机勃勃
溺れる|おぼれる|溺水；沉迷|川で溺れてしまった|在河里溺水了
ずれる|ずれる|移动、偏离|話がずれる|双方话题不一致
逸れる|それる|脱轨、偏离|話が本題から逸れてしまった|话题偏离了主题
拵える|こしらえる|制作、做|夕飯を拵える|做晚饭
訴える|うったえる|控告；诉说|彼は体の不調を訴えている|他诉说身体不适
抱える|かかえる|抱；负担，背负|荷物を抱えている|他抱着一个大包裹
備える|そなえる|防备、准备|備えるはとても大切です。|使用「備える」的例句：防备、准备很重要
備える|そなえる|防备、准备|災害に備えて食料を買っておく|为灾害准备好食物
衰える|おとろえる|衰退、減弱|体力が衰える|体力衰退
躾ける|しつける|教育，教养|子供を躾ける|教育孩子
ふざける|ふざける|开玩笑、戏弄|ふざけるのもいい加減にしろ|愚弄他人也要适可而止
途絶える|とだえる|中断、断绝|連絡が途絶える|联系断绝
やっつける|やっつける|打败、干完|彼は敵をやっつけた|他打败了敌人
くっつける|くっつける|使粘上|切手をのりでくっつける|用胶水粘上
言付ける|ことづける|托付|友達に手紙をことづけた|托朋友指信
差し引く|さしひく|扣除、减去|税金を差し引く|扣除税金
取り消す|とりけす|取消、作废|申し込みを取り消した|取消了申请
引き受ける|ひきうける|承担、接受保证|仕事を引き受けることにした|决定承担这项工作
争う|あらそう|争、争斗|これは争うです。|使用「争う」的例句：这是争、争斗
抗う|あらがう|抵抗、反抗|抗うを持っています。|使用「抗う」的例句：有抵抗、反抗
逆らう|さからう|违背、反抗|逆らうが好きです。|使用「逆らう」的例句：喜欢违背、反抗
抱く|だく、いだく|抱、怀抱|抱くを買いました。|使用「抱く」的例句：买了抱、怀抱
果たす|はたす|完成、实现|約束を果たす|履行约定
甘やかす|あまやかす|宠溺、纵容|子どもを甘やかす|溺爱孩子
挟む|はさむ|夹、插入|パンにハムを挟む|在面包中夹火腿
振る|ふる|挥动、摇摆|彼女に振られる|被女朋友甩了
劣る|おとる|不如、劣势|性能が劣る|性能较差
被る|かぶる|戴（帽子）、蒙受|帽子を被る|戴帽子
怠ける|なまける|懒惰、不努力|怠けるを持っています。|使用「怠ける」的例句：有懒惰、不努力
威張る|いばる|张狂、逞威风|偉そうに威張る|摆出一副了不起的样子
呆れる|あきれる|吃惊|あまりのひどさに呆れる|因太离谱而惊呆
乱れる|みだれる|混乱、紊乱|秩序が乱れる|秩序混乱
暴れる|あばれる|胡闹、大显身手|暴れるところです。|使用「暴れる」的例句：胡闹、大显身手的地方
整える|ととのえる|整理、准备|服装を整える|整理服装
改める|あらためる|改正、改善|態度を改める|改变态度
定める|さだめる|規定、決定|規則を定める|制定規則
納める|おさめる|缴纳、接受|税金を納める|缴纳税金
傾ける|かたむける|傾斜、傾注|耳を傾ける|側耳倾听
ぶつける|ぶつける|撞上、投掷|車を壁にぶつける|把车碰到墙上
任せる|まかせる|委托、托付|仕事を任せる|委托工作
溜まる|たまる|积攒、积累|ストレスが溜まる|积压压力
恵まれる|めぐまれる|受恩惠、富足|才能に恵まれる|天赋异禀
通じる|つうじる|通过、理解|日本語が通じる|能通日语
そそる|そそる|激起、引起|食欲をそそる|勾起食欲
くっつく|くっつく|緊貼、附着|ガムが靴にくっつく|口香糖粘到鞋子上
むかつく|むかつく|生气、反胃|あいつの態度にむかつく|被那家伙的态度气到
思い込む|おもいこむ|深信|思い込むを買いました。|使用「思い込む」的例句：买了深信
溶け込む|とけこむ|融合、融洽|溶け込むについて話します。|使用「溶け込む」的例句：谈论融合、融洽
乗り越える|のりこえる|克服、跨越|困難を乗り越える|克服困难
思い切る|おもいきる|下决心、断念|仕事を辞めると心に思い切る|下定決心辞职
当てはまる|あてはまる|适用、符合|条件に当てはまる|符合条件
打ち消す|うちけす|否认、消除|うわさを打ち消す|否认传言
打ち合わせる|うちあわせる|商量|時間を打ち合わせる|商定时间
問い合わせる|といあわせる|询问|会社に問い合わせる|咨询公司
張り切る|はりきる|干劲十足|新人が張り切って働く|新人干劲十足
仕上げる|しあげる|完成、做完|レポートを仕上げる|完成报告
戦う|たたかう|战斗、斗争|これは戦うです。|使用「戦う」的例句：这是战斗、斗争
奪う|うばう|夺取、剥夺|男は店員に刃物を突きつけ、現金を奪った|男子用刀威胁店员，抢走了现金
救う|すくう|拯救、救助|救うについて話します。|使用「救う」的例句：谈论拯救、救助
庇う|かばう|庇护、保护|庇うを持っています。|使用「庇う」的例句：有庇护、保护
拾う|ひろう|抱起、拾取|拾うを持っています。|使用「拾う」的例句：有抱起、拾取
疑う|うたがう|怀疑|疑うを買いました。|使用「疑う」的例句：买了怀疑
覆う|おおう|覆盖、笼罩|覆うを持っています。|使用「覆う」的例句：有覆盖、笼罩
養う|やしなう|养育、培养|養うを買いました。|使用「養う」的例句：买了养育、培养
補う|おぎなう|补充、弥补|補うはとても大切です。|使用「補う」的例句：补充、弥补很重要
這う|はう|爬，蠕动|時々這うます。|使用「這う」的例句：有时爬，蠕动
雇う|やとう|雇佣|これは雇うです。|使用「雇う」的例句：这是雇佣
伴う|ともなう|伴随、跟随|伴うについて話します。|使用「伴う」的例句：谈论伴随、跟随
敬う|うやまう|尊敬|目上の人を敬うことは大切だ|尊敬长辈是很重要的
祝う|いわう|祝贺、庆祝|祝うはとても大切です。|使用「祝う」的例句：祝贺、庆祝很重要
占う|うらなう|占卜、预言|占うについて話します。|使用「占う」的例句：谈论占卜、预言
請う|こう|请求、恳求|請うはとても大切です。|使用「請う」的例句：请求、恳求很重要
誘う|さそう|邀请、引诱|誘うを買いました。|使用「誘う」的例句：买了邀请、引诱
払う|はらう|支付、拂去|よく払うます。|使用「払う」的例句：经常支付、拂去
担う|になう|承担、背负|これは担うです。|使用「担う」的例句：这是承担、背负
躊躇う|ためらう|犹豫|会うのを躊躇っていた|犹豫着见还是不见
経つ|たつ|经过、流逝|これは経つです。|使用「経つ」的例句：这是经过、流逝
育つ|そだつ|成长、养育|育つ人です。|使用「育つ」的例句：成长、养育的人
保つ|たもつ|保持、维持|これは保つです。|使用「保つ」的例句：这是保持、维持
頷く|うなずく|点头、同意|頷くが好きです。|使用「頷く」的例句：喜欢点头、同意
驚く|おどろく|惊讶、吃惊|そのニュースに驚きました|对那个消息感到惊讶
暴く|あばく|揭露、揭发|これは暴くです。|使用「暴く」的例句：这是揭露、揭发
築く|きずく|修建、建立|築くはとても大切です。|使用「築く」的例句：修建、建立很重要
働く|はたらく|工作、起作用|時々働くます。|使用「働く」的例句：有时工作、起作用
傷つく|きずつく|受伤、损伤|傷つくについて話します。|使用「傷つく」的例句：谈论受伤、损伤
囁く|ささやく|低语、耳语|囁く人です。|使用「囁く」的例句：低语、耳语的人
乾く|かわく|干燥、变干|乾くを持っています。|使用「乾く」的例句：有干燥、变干
浮く|うく|浮起、漂浮|浮くを持っています。|使用「浮く」的例句：有浮起、漂浮
除く|のぞく|除去、去掉|今日は除くました。|使用「除く」的例句：今天除去、去掉了
抜く|ぬく|拔出、省去|一緒に抜くましょう。|使用「抜く」的例句：一起拔出、省去吧
導く|みちびく|引导、带领|導くを持っています。|使用「導く」的例句：有引导、带领
拭く|ふく|擦|机の上を布で拭いた|用布擦了桌子
省く|はぶく|省略、节省|むだを省く|避免浪费
俯く|うつむく|低头、俯视|俯く天気ですね。|使用「俯く」的例句：低头、俯视的天气呢
傾く|かたむく|倾斜、倾向|傾くを買いました。|使用「傾く」的例句：买了倾斜、倾向
長引く|ながびく|拖长、拖延|会議が長引いてしまった|会议超时了
騒ぐ|さわぐ|吵闹、喧哗|騒ぐを買いました。|使用「騒ぐ」的例句：买了吵闹、喧哗
跨ぐ|またぐ|跨过|跨ぐを買いました。|使用「跨ぐ」的例句：买了跨过
塞ぐ|ふさぐ|堵住、塞住|塞ぐについて話します。|使用「塞ぐ」的例句：谈论堵住、塞住
相次ぐ|あいつぐ|接连发生|新しい相次ぐです。|使用「相次ぐ」的例句：新的接连发生
注ぐ|そそぐ|注入|コップに水を注ぐ|往杯子里倒水
貸す|かす|借出、出租|これは貸すです。|使用「貸す」的例句：这是借出、出租
刺す|さす|刺、叮咬|刺すが好きです。|使用「刺す」的例句：喜欢刺、叮咬
許す|ゆるす|允许、原谅|許すについて話します。|使用「許す」的例句：谈论允许、原谅
離す|はなす|放开、分离|これは離すです。|使用「離す」的例句：这是放开、分离
壊す|こわす|破坏、弄坏|壊す人です。|使用「壊す」的例句：破坏、弄坏的人
外す|はずす|取下、离开|外すが好きです。|使用「外す」的例句：喜欢取下、离开
返す|かえす|归还、返回|返すはとても大切です。|使用「返す」的例句：归还、返回很重要
渡す|わたす|交给、递交|渡すを持っています。|使用「渡す」的例句：有交给、递交
足す|たす|添、加、补充|足すを買いました。|使用「足す」的例句：买了添、加、补充
訳す|やくす|翻译、解释|訳すを持っています。|使用「訳す」的例句：有翻译、解释
隠す|かくす|隐藏、遮掩|隠すはとても大切です。|使用「隠す」的例句：隐藏、遮掩很重要
略す|りゃくす|省略、简略|略すを持っています。|使用「略す」的例句：有省略、简略
直す|なおす|修理、改正|新しい直すです。|使用「直す」的例句：新的修理、改正
探す|さがす|寻找、搜寻|探すを買いました。|使用「探す」的例句：买了寻找、搜寻
倒す|たおす|弄倒、推翻|倒すについて話します。|使用「倒す」的例句：谈论弄倒、推翻
潰す|つぶす|弄碎、毁坏|とても潰すです。|使用「潰す」的例句：非常弄碎、毁坏
促す|うながす|促进、催促|インフルエンザが流行しているため、クラス全員に注意を促した|我提醒全班同学注意流感高发
試す|ためす|尝试|実力を試す|测试实力
干す|ほす|晒、弄干|洗濯物を外に干す|把洗好的衣服晾到外面
乾かす|かわかす|弄干、晾干|乾かすを買いました。|使用「乾かす」的例句：买了弄干、晾干
目指す|めざす|以…为目标|これは目指すです。|使用「目指す」的例句：这是以…为目标
暮らす|くらす|生活、度日|暮らすを持っています。|使用「暮らす」的例句：有生活、度日
落とす|おとす|弄掉、降低|落とす人です。|使用「落とす」的例句：弄掉、降低的人
減らす|へらす|減少、缩小|減らす人です。|使用「減らす」的例句：減少、缩小的人
なくす|なくす|丢失、消灭|なくすはとても大切です。|使用「なくす」的例句：丢失、消灭很重要
延ばす|のばす|延长、推迟|延ばすところです。|使用「延ばす」的例句：延长、推迟的地方
欠かす|かかす|缺少、欠缺|欠かすを持っています。|使用「欠かす」的例句：有缺少、欠缺
散らかす|ちらかす|弄乱、散乱|新しい散らかすです。|使用「散らかす」的例句：新的弄乱、散乱
屈む|かがむ|弯腰、蹲下|屈むが好きです。|使用「屈む」的例句：喜欢弯腰、蹲下
傷む|いたむ|损坏、腐烂|傷む天気ですね。|使用「傷む」的例句：损坏、腐烂的天气呢
拒む|こばむ|拒绝、阻挡|拒むを買いました。|使用「拒む」的例句：买了拒绝、阻挡
包む|つつむ|包裹、包围|大勢の人々の拍手に包まれながら、新郎新婦が登場した|在众人的掌声中，新郎新娘登场了
悩む|なやむ|烦恼、困扰|悩むを持っています。|使用「悩む」的例句：有烦恼、困扰
編む|あむ|编织|新しい編むです。|使用「編む」的例句：新的编织
憎む|にくむ|憎恨、厌恶|憎むについて話します。|使用「憎む」的例句：谈论憎恨、厌恶
済む|すむ|结束、完成|済むが好きです。|使用「済む」的例句：喜欢结束、完成
沈む|しずむ|沉没、消沉|沈むを買いました。|使用「沈む」的例句：买了沉没、消沉
囲む|かこむ|囲绕、包囲|久々に家族で鍋料理を囲み、団らんの時間を過ごした|一家人久违地围在一起吃火锅，享受团圆时光
汲む|くむ|汲取、打水|汲むはとても大切です。|使用「汲む」的例句：汲取、打水很重要
畳む|たたむ|折叠、收起|畳むが好きです。|使用「畳む」的例句：喜欢折叠、收起
恨む|うらむ|怨恨、痛恨|新しい恨むです。|使用「恨む」的例句：新的怨恨、痛恨
